Techniques,Rule
T1553,sigma-master/rules/macos/process_creation/proc_creation_macos_xattr_gatekeeper_bypass.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_base64_decode.yml
T1027,sigma-master/rules/macos/process_creation/proc_creation_macos_base64_decode.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_local_groups.yml
T1069,sigma-master/rules/macos/process_creation/proc_creation_macos_local_groups.yml
EXFILTRATION,sigma-master/rules/macos/process_creation/proc_creation_macos_split_file_into_pieces.yml
T1030,sigma-master/rules/macos/process_creation/proc_creation_macos_split_file_into_pieces.yml
IMPACT,sigma-master/rules/macos/process_creation/proc_creation_macos_system_shutdown_reboot.yml
T1529,sigma-master/rules/macos/process_creation/proc_creation_macos_system_shutdown_reboot.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_binary_padding.yml
T1027,sigma-master/rules/macos/process_creation/proc_creation_macos_binary_padding.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_security_software_discovery.yml
T1518,sigma-master/rules/macos/process_creation/proc_creation_macos_security_software_discovery.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_network_sniffing.yml
CREDENTIAL_ACCESS,sigma-master/rules/macos/process_creation/proc_creation_macos_network_sniffing.yml
T1040,sigma-master/rules/macos/process_creation/proc_creation_macos_network_sniffing.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_space_after_filename.yml
T1036,sigma-master/rules/macos/process_creation/proc_creation_macos_space_after_filename.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_remote_system_discovery.yml
T1018,sigma-master/rules/macos/process_creation/proc_creation_macos_remote_system_discovery.yml
T1136,sigma-master/rules/macos/process_creation/proc_creation_macos_create_account.yml
PERSISTENCE,sigma-master/rules/macos/process_creation/proc_creation_macos_create_account.yml
CREDENTIAL_ACCESS,sigma-master/rules/macos/process_creation/proc_creation_macos_susp_histfile_operations.yml
T1552,sigma-master/rules/macos/process_creation/proc_creation_macos_susp_histfile_operations.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_network_service_scanning.yml
T1046,sigma-master/rules/macos/process_creation/proc_creation_macos_network_service_scanning.yml
CREDENTIAL_ACCESS,sigma-master/rules/macos/process_creation/proc_creation_macos_gui_input_capture.yml
T1056,sigma-master/rules/macos/process_creation/proc_creation_macos_gui_input_capture.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_disable_security_tools.yml
T1562,sigma-master/rules/macos/process_creation/proc_creation_macos_disable_security_tools.yml
CREDENTIAL_ACCESS,sigma-master/rules/macos/process_creation/proc_creation_macos_creds_from_keychain.yml
T1555,sigma-master/rules/macos/process_creation/proc_creation_macos_creds_from_keychain.yml
COLLECTION,sigma-master/rules/macos/process_creation/proc_creation_macos_screencapture.yml
T1113,sigma-master/rules/macos/process_creation/proc_creation_macos_screencapture.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_file_and_directory_discovery.yml
T1083,sigma-master/rules/macos/process_creation/proc_creation_macos_file_and_directory_discovery.yml
EXECUTION,sigma-master/rules/macos/process_creation/proc_creation_macos_schedule_task_job_cron.yml
PERSISTENCE,sigma-master/rules/macos/process_creation/proc_creation_macos_schedule_task_job_cron.yml
PRIVILEGE_ESCALATION,sigma-master/rules/macos/process_creation/proc_creation_macos_schedule_task_job_cron.yml
T1053,sigma-master/rules/macos/process_creation/proc_creation_macos_schedule_task_job_cron.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_pwndrop.yml
T1071,sigma-master/rules/proxy/proxy_pwndrop.yml
T1102,sigma-master/rules/proxy/proxy_pwndrop.yml
T1102,sigma-master/rules/proxy/proxy_pwndrop.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_telegram_api.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_telegram_api.yml
T1071,sigma-master/rules/proxy/proxy_telegram_api.yml
T1102,sigma-master/rules/proxy/proxy_telegram_api.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_susp.yml
T1071,sigma-master/rules/proxy/proxy_ua_susp.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_ip.yml
T1071,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_ip.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_ip.yml
PERSISTENCE,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_ip.yml
T1197,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_ip.yml
S0190,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_ip.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
T1071,sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
EXECUTION,sigma-master/rules/proxy/proxy_ios_implant.yml
T1203,sigma-master/rules/proxy/proxy_ios_implant.yml
COLLECTION,sigma-master/rules/proxy/proxy_ios_implant.yml
T1005,sigma-master/rules/proxy/proxy_ios_implant.yml
T1119,sigma-master/rules/proxy/proxy_ios_implant.yml
CREDENTIAL_ACCESS,sigma-master/rules/proxy/proxy_ios_implant.yml
T1528,sigma-master/rules/proxy/proxy_ios_implant.yml
T1552,sigma-master/rules/proxy/proxy_ios_implant.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_cryptominer.yml
T1071,sigma-master/rules/proxy/proxy_ua_cryptominer.yml
INITIAL_ACCESS,sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
T1189,sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
EXECUTION,sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
T1204,sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
T1036,sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
T1071,sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
T1102,sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
T1102,sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
INITIAL_ACCESS,sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
T1566,sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
EXECUTION,sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
T1203,sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
T1204,sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_powershell_ua.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_powershell_ua.yml
T1071,sigma-master/rules/proxy/proxy_powershell_ua.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_chafer_malware.yml
T1071,sigma-master/rules/proxy/proxy_chafer_malware.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
T1071,sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_cobalt_amazon.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_cobalt_amazon.yml
T1071,sigma-master/rules/proxy/proxy_cobalt_amazon.yml
INITIAL_ACCESS,sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
T1566,sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
EXECUTION,sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
T1203,sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
T1204,sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
INITIAL_ACCESS,sigma-master/rules/proxy/proxy_ua_hacktool.yml
T1190,sigma-master/rules/proxy/proxy_ua_hacktool.yml
CREDENTIAL_ACCESS,sigma-master/rules/proxy/proxy_ua_hacktool.yml
T1110,sigma-master/rules/proxy/proxy_ua_hacktool.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_downloadcradle_webdav.yml
T1071,sigma-master/rules/proxy/proxy_downloadcradle_webdav.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
T1071,sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_malware.yml
T1071,sigma-master/rules/proxy/proxy_ua_malware.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
T1071,sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_frameworks.yml
T1071,sigma-master/rules/proxy/proxy_ua_frameworks.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
T1105,sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
T1568,sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_turla_comrat.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_turla_comrat.yml
T1071,sigma-master/rules/proxy/proxy_turla_comrat.yml
G0010,sigma-master/rules/proxy/proxy_turla_comrat.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_empty_ua.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_empty_ua.yml
T1071,sigma-master/rules/proxy/proxy_empty_ua.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
T1071,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
DEFENSE_EVASION,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
PERSISTENCE,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
T1197,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
S0190,sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ua_apt.yml
T1071,sigma-master/rules/proxy/proxy_ua_apt.yml
INITIAL_ACCESS,sigma-master/rules/proxy/proxy_java_class_download.yml
INITIAL_ACCESS,sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
T1566,sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
EXECUTION,sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
T1204,sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
T1071,sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_apt_domestic_kitten.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_baby_shark.yml
T1071,sigma-master/rules/proxy/proxy_baby_shark.yml
COMMAND_AND_CONTROL,sigma-master/rules/proxy/proxy_apt40.yml
T1071,sigma-master/rules/proxy/proxy_apt40.yml
EXFILTRATION,sigma-master/rules/proxy/proxy_apt40.yml
T1567,sigma-master/rules/proxy/proxy_apt40.yml
T1190,sigma-master/rules/web/web_sonicwall_jarrewrite_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_sonicwall_jarrewrite_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_8193_8195_citrix_exploit.yml
T1190,sigma-master/rules/web/web_cve_2020_8193_8195_citrix_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_2109_weblogic_rce_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_2109_weblogic_rce_exploit.yml
2021,sigma-master/rules/web/web_cve_2021_2109_weblogic_rce_exploit.yml
PERSISTENCE,sigma-master/rules/web/web_solarwinds_supernova_webshell.yml
T1505,sigma-master/rules/web/web_solarwinds_supernova_webshell.yml
PERSISTENCE,sigma-master/rules/web/web_susp_windows_path_uri.yml
EXFILTRATION,sigma-master/rules/web/web_susp_windows_path_uri.yml
T1505,sigma-master/rules/web/web_susp_windows_path_uri.yml
T1190,sigma-master/rules/web/web_cve_2020_3452_cisco_asa_ftd.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_3452_cisco_asa_ftd.yml
2020,sigma-master/rules/web/web_cve_2020_3452_cisco_asa_ftd.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2019_3398_confluence.yml
T1190,sigma-master/rules/web/web_cve_2019_3398_confluence.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_44228_log4j.yml
T1190,sigma-master/rules/web/web_cve_2021_44228_log4j.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_42237_sitecore_report_ashx.yml
T1190,sigma-master/rules/web/web_cve_2021_42237_sitecore_report_ashx.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_10148_solarwinds_exploit.yml
T1190,sigma-master/rules/web/web_cve_2020_10148_solarwinds_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_44228_log4j_fields.yml
T1190,sigma-master/rules/web/web_cve_2021_44228_log4j_fields.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_43798_grafana.yml
T1190,sigma-master/rules/web/web_cve_2021_43798_grafana.yml
INITIAL_ACCESS,sigma-master/rules/web/web_path_traversal_exploitation_attempt.yml
T1190,sigma-master/rules/web/web_path_traversal_exploitation_attempt.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_0688_exchange_exploit.yml
T1190,sigma-master/rules/web/web_cve_2020_0688_exchange_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_26814_wzuh_rce.yml
T1190,sigma-master/rules/web/web_cve_2021_26814_wzuh_rce.yml
2021,sigma-master/rules/web/web_cve_2021_26814_wzuh_rce.yml
2021,sigma-master/rules/web/web_cve_2021_26814_wzuh_rce.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_22893_pulse_secure_rce_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_22893_pulse_secure_rce_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_20090_2021_20091_arcadyan_router_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_20090_2021_20091_arcadyan_router_exploit.yml
2021,sigma-master/rules/web/web_cve_2021_20090_2021_20091_arcadyan_router_exploit.yml
2021,sigma-master/rules/web/web_cve_2021_20090_2021_20091_arcadyan_router_exploit.yml
T1190,sigma-master/rules/web/web_cve_2020_28188_terramaster_rce_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_28188_terramaster_rce_exploit.yml
2020,sigma-master/rules/web/web_cve_2020_28188_terramaster_rce_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_28480_exchange_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_28480_exchange_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2010_5278_exploitation_attempt.yml
T1190,sigma-master/rules/web/web_cve_2010_5278_exploitation_attempt.yml
T1190,sigma-master/rules/web/web_cve_2020_14882_weblogic_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_14882_weblogic_exploit.yml
2020,sigma-master/rules/web/web_cve_2020_14882_weblogic_exploit.yml
T1190,sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
PERSISTENCE,sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
T1505,sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
2018,sigma-master/rules/web/web_cve_2018_2894_weblogic_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_exchange_proxyshell_successful.yml
IMPACT,sigma-master/rules/web/web_nginx_core_dump.yml
T1499,sigma-master/rules/web/web_nginx_core_dump.yml
2022,sigma-master/rules/web/web_java_payload_in_access_logs.yml
2021,sigma-master/rules/web/web_java_payload_in_access_logs.yml
IMPACT,sigma-master/rules/web/web_apache_segfault.yml
T1499,sigma-master/rules/web/web_apache_segfault.yml
PERSISTENCE,sigma-master/rules/web/web_webshell_regeorg.yml
T1505,sigma-master/rules/web/web_webshell_regeorg.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
PERSISTENCE,sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
T1505,sigma-master/rules/web/web_cve_2021_40539_manageengine_adselfservice_exploit.yml
PERSISTENCE,sigma-master/rules/web/web_unc2546_dewmode_php_webshell.yml
T1505,sigma-master/rules/web/web_unc2546_dewmode_php_webshell.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_5902_f5_bigip.yml
T1190,sigma-master/rules/web/web_cve_2020_5902_f5_bigip.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_21972_vsphere_unauth_rce_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_21972_vsphere_unauth_rce_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_22123_fortinet_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_22123_fortinet_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2019_11510_pulsesecure_exploit.yml
T1190,sigma-master/rules/web/web_cve_2019_11510_pulsesecure_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_exchange_proxyshell.yml
INITIAL_ACCESS,sigma-master/rules/web/web_iis_tilt_shortname_scan.yml
T1190,sigma-master/rules/web/web_iis_tilt_shortname_scan.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_41773_apache_path_traversal.yml
T1190,sigma-master/rules/web/web_cve_2021_41773_apache_path_traversal.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2018_13379_fortinet_preauth_read_exploit.yml
T1190,sigma-master/rules/web/web_cve_2018_13379_fortinet_preauth_read_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_multiple_susp_resp_codes_single_source.yml
T1190,sigma-master/rules/web/web_multiple_susp_resp_codes_single_source.yml
INITIAL_ACCESS,sigma-master/rules/web/web_exchange_exploitation_hafnium.yml
T1190,sigma-master/rules/web/web_exchange_exploitation_hafnium.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_22005_vmware_file_upload.yml
T1190,sigma-master/rules/web/web_cve_2021_22005_vmware_file_upload.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2020_0688_msexchange.yml
T1190,sigma-master/rules/web/web_cve_2020_0688_msexchange.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2019_19781_citrix_exploit.yml
T1190,sigma-master/rules/web/web_cve_2019_19781_citrix_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_21978_vmware_view_planner_exploit.yml
T1190,sigma-master/rules/web/web_cve_2021_21978_vmware_view_planner_exploit.yml
2021,sigma-master/rules/web/web_cve_2021_21978_vmware_view_planner_exploit.yml
INITIAL_ACCESS,sigma-master/rules/web/web_cve_2021_33766_msexchange_proxytoken.yml
T1190,sigma-master/rules/web/web_cve_2021_33766_msexchange_proxytoken.yml
DISCOVERY,sigma-master/rules/web/web_source_code_enumeration.yml
T1083,sigma-master/rules/web/web_source_code_enumeration.yml
PERSISTENCE,sigma-master/rules/web/web_win_webshells_in_access_logs.yml
T1505,sigma-master/rules/web/web_win_webshells_in_access_logs.yml
CREDENTIAL_ACCESS,sigma-master/rules/network/cisco/aaa/cisco_cli_net_sniff.yml
DISCOVERY,sigma-master/rules/network/cisco/aaa/cisco_cli_net_sniff.yml
T1040,sigma-master/rules/network/cisco/aaa/cisco_cli_net_sniff.yml
IMPACT,sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
T1495,sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
T1529,sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
T1565,sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
CREDENTIAL_ACCESS,sigma-master/rules/network/cisco/aaa/cisco_cli_input_capture.yml
T1552,sigma-master/rules/network/cisco/aaa/cisco_cli_input_capture.yml
PERSISTENCE,sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
IMPACT,sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
T1490,sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
T1505,sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
T1565,sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
T1053,sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
DEFENSE_EVASION,sigma-master/rules/network/cisco/aaa/cisco_cli_disable_logging.yml
T1562,sigma-master/rules/network/cisco/aaa/cisco_cli_disable_logging.yml
DEFENSE_EVASION,sigma-master/rules/network/cisco/aaa/cisco_cli_clear_logs.yml
T1070,sigma-master/rules/network/cisco/aaa/cisco_cli_clear_logs.yml
DISCOVERY,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1083,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1201,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1057,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1018,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1082,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1016,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1049,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1033,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
T1124,sigma-master/rules/network/cisco/aaa/cisco_cli_discovery.yml
CREDENTIAL_ACCESS,sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
DEFENSE_EVASION,sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
T1553,sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
T1552,sigma-master/rules/network/cisco/aaa/cisco_cli_crypto_actions.yml
DEFENSE_EVASION,sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
IMPACT,sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
T1070,sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
T1561,sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
T1561,sigma-master/rules/network/cisco/aaa/cisco_cli_file_deletion.yml
COLLECTION,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
LATERAL_MOVEMENT,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
COMMAND_AND_CONTROL,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
EXFILTRATION,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
T1074,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
T1105,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
T1560,sigma-master/rules/network/cisco/aaa/cisco_cli_moving_data.yml
DISCOVERY,sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
CREDENTIAL_ACCESS,sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
COLLECTION,sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
T1087,sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
T1552,sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
T1005,sigma-master/rules/network/cisco/aaa/cisco_cli_collect_data.yml
PERSISTENCE,sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
T1136,sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
T1098,sigma-master/rules/network/cisco/aaa/cisco_cli_local_accounts.yml
EXFILTRATION,sigma-master/rules/network/firewall/net_firewall_high_dns_bytes_out.yml
T1048,sigma-master/rules/network/firewall/net_firewall_high_dns_bytes_out.yml
DISCOVERY,sigma-master/rules/network/firewall/net_firewall_susp_network_scan_by_ip.yml
T1046,sigma-master/rules/network/firewall/net_firewall_susp_network_scan_by_ip.yml
EXFILTRATION,sigma-master/rules/network/firewall/net_firewall_high_dns_requests_rate.yml
T1048,sigma-master/rules/network/firewall/net_firewall_high_dns_requests_rate.yml
COMMAND_AND_CONTROL,sigma-master/rules/network/firewall/net_firewall_high_dns_requests_rate.yml
T1071,sigma-master/rules/network/firewall/net_firewall_high_dns_requests_rate.yml
COMMAND_AND_CONTROL,sigma-master/rules/network/firewall/net_firewall_apt_equationgroup_c2.yml
G0020,sigma-master/rules/network/firewall/net_firewall_apt_equationgroup_c2.yml
T1041,sigma-master/rules/network/firewall/net_firewall_apt_equationgroup_c2.yml
